Degree,Specialization,CGPA,Job_Role
M.Tech,Textile Engineering,7.83,Production Manager
M.Tech,Biomedical Engineering,7.47,Equipment Technician
M.Sc,Statistics,6.83,Data Clerk
M.Sc,Electronics,9.65,Circuit Designer
B.Sc,Chemistry,6.05,Chemical Assistant
B.Sc,Dialysis Technology,8.48,Dialysis Technician
B.Tech,Mechanical Engineering,7.72,Production Engineer
M.Tech,Electronics and Communication Engineering,8.86,VLSI Engineer
B.Sc,Anesthesia Technology,7.34,Nursing Assistant
B.Sc,Dialysis Technology,9.58,Dialysis Specialist
M.Sc,Mathematics,9.9,Safety Officer
M.Sc,Radiology,8.75,Senior Radiologist
M.Tech,Mining Engineering,7.31,Draftsman
B.Tech,Mechanical Engineering,8.11,Production Engineer
M.Tech,Biomedical Engineering,9.4,Bio-instrumentation Lead
M.Tech,Electrical and Electronics Engineering,9.44,Control Systems Lead
M.Tech,Aeronautical Engineering,9.2,Aerodynamics Specialist
B.Sc,Medical Laboratory Technology,9.68,Lab Director
M.Tech,Marine Engineering,7.96,Marine Engineer
M.Tech,Civil Engineering,8.51,Genetic Engineer
B.Sc,Statistics,8.98,Crime Scene Investigator
B.Sc,Physics,8.52,Quantum Researcher
B.Sc,Optometry,8.99,Chemical Plant Operator
B.Tech,Mechanical Engineering,7.94,Production Engineer
M.Sc,Anesthesia Technology,9.06,Chief Anesthesia Tech
M.Sc,Medical Laboratory Technology,6.64,Phlebotomist
M.Tech,Aeronautical Engineering,9.07,Aerodynamics Specialist
M.Tech,Civil Engineering,8.81,Structural Engineer
B.Sc,Operation Theatre Technology,9.19,Technical Writer
M.Tech,Information Technology,6.63,Helpdesk Specialist
B.Tech,Chemical Engineering,9.42,Process Design Engineer
B.Tech,Textile Engineering,7.9,Production Manager
M.Tech,Information Technology,8.23,IT Engineer
B.Tech,Mining Engineering,9.04,Quality Control
M.Tech,Biomedical Engineering,7.64,Biomedical Engineer
M.Sc,Dialysis Technology,6.47,Health Aide
M.Tech,Environmental Engineering,6.06,Dialysis Technician
M.Tech,Mining Engineering,9.4,Mine Manager
M.Tech,Metallurgical Engineering,8.39,Process Metallurgist
B.Tech,Mechanical Engineering,7.37,Maintenance Technician
M.Sc,Electronics,7.0,Testing Assistant
B.Tech,Computer Science and Engineering,7.12,Technical Support
B.Tech,Mining Engineering,9.97,Mine Manager
M.Tech,Information Technology,8.57,Cloud Architect
M.Sc,Statistics,7.77,Survey Researcher
B.Sc,Anesthesia Technology,7.6,Anesthesia Technician
B.Tech,Aeronautical Engineering,8.15,Aircraft Maintenance Engineer
B.Sc,Electronics,7.94,Hardware Repair Lead
B.Sc,Medical Laboratory Technology,7.03,Phlebotomist
M.Tech,Computer Science and Engineering,6.24,Technical Support
B.Tech,Chemical Engineering,6.59,Safety Officer
B.Sc,Operation Theatre Technology,7.72,OT Technician
M.Tech,Chemical Engineering,6.63,Safety Officer
B.Tech,Aerospace Engineering,8.32,Satellite Controller
B.Tech,Civil Engineering,7.16,Draftsman
M.Tech,Information Technology,8.2,IT Engineer
M.Sc,Electronics,6.15,Testing Assistant
B.Tech,Information Technology,7.12,Helpdesk Specialist
B.Sc,Operation Theatre Technology,7.23,Surgical Assistant
B.Tech,Information Technology,7.64,IT Engineer
B.Tech,Mechanical Engineering,6.86,Maintenance Technician
